Team,Player,Time,Event,Info,Object
PURDUE,陈晨侠,4 - 9 : 8,3分球出手,不进,
EM,21#花文俊,4 - 9 : 8,篮板,后场,
EM,18#施君逸,4 - 9 : 20,2分球出手,进球,
EM,26#高扬,4 - 9 : 25,抢断,,1#Terrence
EM,26#高扬,4 - 9 : 29,2分球出手,不进,
PURDUE,陈晨侠,4 - 9 : 29,篮板,后场,
EM,13#孙琦,4 - 9 : 50,犯规,投篮犯规,32#Tony
PURDUE,32#Tony,4 - 9 : 58,罚球出手,进球,
PURDUE,32#Tony,4 - 10 : 0,罚球出手,不进,
EM,26#高扬,4 - 10 : 12,篮板,后场,
EM,21#花文俊,4 - 10 : 17,2分球出手,不进,
EM,21#花文俊,4 - 10 : 17,篮板,前场,
EM,21#花文俊,4 - 10 : 20,2分球出手,不进,
EM,21#花文俊,4 - 10 : 20,篮板,前场,
EM,21#花文俊,4 - 10 : 23,2分球出手,不进,
EM,21#花文俊,4 - 10 : 23,篮板,前场,
EM,21#花文俊,4 - 10 : 41,助攻,3分,13#孙琦
PURDUE,0#Rio,4 - 11 : 1,2分球出手,不进,
EM,13#孙琦,4 - 11 : 1,篮板,后场,
EM,18#施君逸,4 - 11 : 20,3分球出手,不进,
PURDUE,32#Tony,4 - 11 : 20,篮板,后场,
EM,13#孙琦,4 - 11 : 48,犯规,普通犯规未犯满,11#Leo
EM,21#花文俊,4 - 12 : 2,盖帽,2分,陈晨侠
PURDUE,陈晨侠,4 - 12 : 2,篮板,前场,
PURDUE,陈晨侠,4 - 12 : 6,助攻,2分,1#Terrence
EM,26#高扬,4 - 12 : 29,2分球出手,不进,
EM,21#花文俊,4 - 12 : 29,篮板,前场,
EM,21#花文俊,4 - 12 : 30,2分球出手,不进,
PURDUE,11#Leo,4 - 12 : 36,篮板,后场,
PURDUE,0#Rio,4 - 12 : 43,2分球出手,不进,
EM,13#孙琦,4 - 12 : 46,篮板,后场,
PURDUE,0#Rio,4 - 12 : 46,抢断,,13#孙琦
EM,13#孙琦,4 - 13 : 18,3分球出手,不进,
EM,21#花文俊,4 - 13 : 19,篮板,前场,
EM,21#花文俊,4 - 13 : 19,2分球出手,进球,
PURDUE,32#Tony,4 - 13 : 33,2分球出手,不进,
EM,39#陈寅,4 - 13 : 35,篮板,后场,
EM,21#花文俊,4 - 13 : 46,助攻,2分,26#高扬
EM,18#施君逸,4 - 13 : 50,抢断,,32#Tony
EM,18#施君逸,4 - 13 : 50,2分球出手,进球,
PURDUE,32#Tony,4 - 14 : 0,2分球出手,不进,
EM,21#花文俊,4 - 14 : 0,篮板,后场,
EM,39#陈寅,4 - 14 : 6,3分球出手,不进,
EM,21#花文俊,4 - 14 : 7,篮板,前场,
EM,21#花文俊,4 - 14 : 11,助攻,2分,18#施君逸
EM,21#花文俊,4 - 16 : 44,换人,,34#王伟
EM,26#高扬,4 - 16 : 45,换人,,25#蒲知劲
EM,18#施君逸,4 - 16 : 45,换人,,7#金晓伟
EM,39#陈寅,4 - 16 : 45,换人,,19#傅腾
EM,13#孙琦,4 - 16 : 45,换人,,10#余国璞
PURDUE,陈晨侠,4 - 17 : 7,2分球出手,不进,
EM,19#傅腾,4 - 17 : 7,篮板,后场,
EM,19#傅腾,4 - 17 : 19,助攻,2分,34#王伟
PURDUE,0#Rio,4 - 17 : 40,2分球出手,不进,
EM,34#王伟,4 - 17 : 49,篮板,后场,
EM,19#傅腾,4 - 17 : 55,2分球出手,进球,
PURDUE,1#Terrence,4 - 18 : 7,2分球出手,不进,
EM,7#金晓伟,4 - 18 : 7,篮板,后场,
EM,34#王伟,4 - 18 : 40,失误,出界,
PURDUE,陈晨侠,4 - 18 : 44,2分球出手,不进,
EM,19#傅腾,4 - 18 : 48,篮板,后场,
PURDUE,11#Leo,4 - 19 : 8,抢断,,25#蒲知劲
PURDUE,11#Leo,4 - 19 : 14,2分球出手,进球,
EM,19#傅腾,4 - 19 : 24,3分球出手,不进,
EM,25#蒲知劲,4 - 19 : 27,篮板,前场,
EM,34#王伟,4 - 19 : 31,篮板,前场,
EM,34#王伟,4 - 19 : 35,2分球出手,进球,
PURDUE,32#Tony,4 - 19 : 47,2分球出手,不进,
EM,25#蒲知劲,4 - 20 : 1,篮板,后场,
EM,10#余国璞,4 - 19 : 57,助攻,2分,25#蒲知劲
EM,7#金晓伟,4 - 20 : 53,犯规,普通犯规未犯满,1#Terrence
EM,10#余国璞,4 - 20 : 54,抢断,,11#Leo
PURDUE,11#Leo,4 - 21 : 21,犯规,投篮犯规,34#王伟
EM,34#王伟,4 - 21 : 35,罚球出手,不进,
EM,34#王伟,4 - 21 : 35,罚球出手,不进,
EM,25#蒲知劲,4 - 21 : 36,篮板,前场,
EM,25#蒲知劲,4 - 21 : 36,2分球出手,进球,
PURDUE,11#Leo,4 - 22 : 11,2分球出手,不进,
EM,10#余国璞,4 - 22 : 25,3分球出手,不进,
